 ,Area,Mean,Min,Max
1,311.111,255,255,255
2,222.222,255,255,255
3,14977.778,255,255,255
4,4222.222,255,255,255
5,3288.889,255,255,255
6,355.556,255,255,255
7,44.444,255,255,255
8,88.889,255,255,255
9,1155.556,255,255,255
10,444.444,255,255,255
11,4577.778,255,255,255
12,1644.444,255,255,255
13,4488.889,255,255,255
14,2355.556,255,255,255
15,355.556,255,255,255
16,7377.778,255,255,255
17,3022.222,255,255,255
18,6266.667,255,255,255
19,3333.333,255,255,255
20,88.889,255,255,255
21,3422.222,255,255,255
22,5244.444,255,255,255
23,2311.111,255,255,255
24,44.444,255,255,255
25,133.333,255,255,255
26,3377.778,255,255,255
27,2577.778,255,255,255
28,2800.000,255,255,255
29,933.333,255,255,255
30,1555.556,255,255,255
31,1022.222,255,255,255
32,44.444,255,255,255
33,2000.000,255,255,255
34,2755.556,255,255,255
35,1422.222,255,255,255
36,5555.556,255,255,255
37,533.333,255,255,255
38,1155.556,255,255,255
39,44.444,255,255,255
40,3555.556,255,255,255
41,5155.556,255,255,255
42,666.667,255,255,255
43,177.778,255,255,255
44,2888.889,255,255,255
45,44.444,255,255,255
46,8266.667,255,255,255
47,355.556,255,255,255
48,2533.333,255,255,255
49,9244.444,255,255,255
50,15822.222,255,255,255
51,6577.778,255,255,255
52,8266.667,255,255,255
53,44.444,255,255,255
54,311.111,255,255,255
55,1600.000,255,255,255
56,10266.667,255,255,255
57,6088.889,255,255,255
58,13244.444,255,255,255
59,14755.556,255,255,255
60,44.444,255,255,255
61,5822.222,255,255,255
62,4177.778,255,255,255
63,222.222,255,255,255
64,1200.000,255,255,255
65,6888.889,255,255,255
66,8488.889,255,255,255
67,3555.556,255,255,255
68,5600.000,255,255,255
69,11200.000,255,255,255
70,400.000,255,255,255
71,2000.000,255,255,255
72,7333.333,255,255,255
73,2222.222,255,255,255
74,1288.889,255,255,255
75,133.333,255,255,255
76,140666.667,255,255,255
77,222.222,255,255,255
78,3955.556,255,255,255
79,88.889,255,255,255
80,355.556,255,255,255
81,7333.333,255,255,255
82,9600.000,255,255,255
83,5377.778,255,255,255
84,4000.000,255,255,255
85,2044.444,255,255,255
86,1777.778,255,255,255
87,44.444,255,255,255
88,311.111,255,255,255
89,133.333,255,255,255
90,311.111,255,255,255
91,844.444,255,255,255
92,311.111,255,255,255
93,888.889,255,255,255
94,4666.667,255,255,255
95,3777.778,255,255,255
96,2400.000,255,255,255
97,47066.667,255,255,255
98,1733.333,255,255,255
99,2533.333,255,255,255
100,8933.333,255,255,255
101,2311.111,255,255,255
102,3288.889,255,255,255
103,44.444,255,255,255
104,1200.000,255,255,255
105,4400.000,255,255,255
106,888.889,255,255,255
107,88.889,255,255,255
108,5288.889,255,255,255
109,88.889,255,255,255
110,355.556,255,255,255
111,222.222,255,255,255
112,177.778,255,255,255
113,12044.444,255,255,255
114,2933.333,255,255,255
115,44.444,255,255,255
116,133.333,255,255,255
117,771911.111,255,255,255
118,311.111,255,255,255
119,355.556,255,255,255
120,5333.333,255,255,255
121,6000.000,255,255,255
122,44.444,255,255,255
123,44.444,255,255,255
124,5777.778,255,255,255
125,8177.778,255,255,255
126,11777.778,255,255,255
127,2400.000,255,255,255
128,4800.000,255,255,255
129,2177.778,255,255,255
130,1244.444,255,255,255
131,1244.444,255,255,255
132,44.444,255,255,255
133,6044.444,255,255,255
134,488.889,255,255,255
135,3155.556,255,255,255
136,5733.333,255,255,255
137,311.111,255,255,255
138,4177.778,255,255,255
139,44.444,255,255,255
140,577.778,255,255,255
141,1333.333,255,255,255
142,3466.667,255,255,255
143,8088.889,255,255,255
144,44.444,255,255,255
145,3333.333,255,255,255
146,18800.000,255,255,255
147,355.556,255,255,255
148,266.667,255,255,255
149,1244.444,255,255,255
150,6444.444,255,255,255
151,133.333,255,255,255
152,355.556,255,255,255
153,3377.778,255,255,255
154,88.889,255,255,255
155,2444.444,255,255,255
156,20755.556,255,255,255
157,51288.889,255,255,255
158,2266.667,255,255,255
159,44.444,255,255,255
160,1288.889,255,255,255
161,25244.444,255,255,255
162,1155.556,255,255,255
163,15466.667,255,255,255
164,6044.444,255,255,255
165,888.889,255,255,255
166,36177.778,255,255,255
167,533.333,255,255,255
168,400.000,255,255,255
169,4977.778,255,255,255
170,132400.000,255,255,255
171,44.444,255,255,255
172,14222.222,255,255,255
173,5911.111,255,255,255
174,666.667,255,255,255
175,1155.556,255,255,255
176,1511.111,255,255,255
177,3644.444,255,255,255
178,488.889,255,255,255
179,12933.333,255,255,255
180,4400.000,255,255,255
181,133.333,255,255,255
182,1288.889,255,255,255
183,2755.556,255,255,255
184,6444.444,255,255,255
185,245022.222,255,255,255
186,4755.556,255,255,255
187,44.444,255,255,255
188,8711.111,255,255,255
189,7511.111,255,255,255
190,711.111,255,255,255
191,6355.556,255,255,255
192,2266.667,255,255,255
193,44.444,255,255,255
194,88.889,255,255,255
195,2888.889,255,255,255
196,133.333,255,255,255
197,1822.222,255,255,255
198,577.778,255,255,255
199,3466.667,255,255,255
200,266.667,255,255,255
201,11644.444,255,255,255
202,3688.889,255,255,255
203,3066.667,255,255,255
204,44.444,255,255,255
205,400.000,255,255,255
206,844.444,255,255,255
207,4000.000,255,255,255
208,1600.000,255,255,255
209,88.889,255,255,255
210,400933.333,255,255,255
211,977.778,255,255,255
212,4177.778,255,255,255
213,844.444,255,255,255
214,2266.667,255,255,255
215,7111.111,255,255,255
216,177.778,255,255,255
217,3466.667,255,255,255
218,2488.889,255,255,255
219,177.778,255,255,255
220,3200.000,255,255,255
221,577.778,255,255,255
222,177.778,255,255,255
223,1200.000,255,255,255
224,177.778,255,255,255
225,44.444,255,255,255
226,44.444,255,255,255
227,177.778,255,255,255
228,1600.000,255,255,255
229,666.667,255,255,255
230,711.111,255,255,255
231,800.000,255,255,255
232,16755.556,255,255,255
233,44.444,255,255,255
234,109466.667,255,255,255
235,2044.444,255,255,255
236,311.111,255,255,255
237,222.222,255,255,255
238,3422.222,255,255,255
239,44.444,255,255,255
240,177.778,255,255,255
241,44.444,255,255,255
242,222.222,255,255,255
243,355.556,255,255,255
244,4800.000,255,255,255
245,266.667,255,255,255
246,311.111,255,255,255
247,5955.556,255,255,255
248,17511.111,255,255,255
249,800.000,255,255,255
250,5733.333,255,255,255
251,10222.222,255,255,255
252,266.667,255,255,255
253,160844.444,255,255,255
254,18400.000,255,255,255
255,755.556,255,255,255
256,1155.556,255,255,255
257,3288.889,255,255,255
258,1688.889,255,255,255
259,1200.000,255,255,255
260,1200.000,255,255,255
261,45688.889,255,255,255
262,11111.111,255,255,255
263,622.222,255,255,255
264,15733.333,255,255,255
265,7466.667,255,255,255
266,355.556,255,255,255
267,7333.333,255,255,255
268,7422.222,255,255,255
269,400.000,255,255,255
270,2088.889,255,255,255
271,933.333,255,255,255
272,9422.222,255,255,255
273,4933.333,255,255,255
274,3200.000,255,255,255
275,1866.667,255,255,255
276,41466.667,255,255,255
277,2533.333,255,255,255
278,17288.889,255,255,255
279,3466.667,255,255,255
280,3111.111,255,255,255
281,177.778,255,255,255
282,7644.444,255,255,255
283,88.889,255,255,255
284,666.667,255,255,255
285,2577.778,255,255,255
286,444.444,255,255,255
287,2933.333,255,255,255
288,6311.111,255,255,255
289,21866.667,255,255,255
290,488.889,255,255,255
291,1200.000,255,255,255
292,12755.556,255,255,255
293,1822.222,255,255,255
294,3377.778,255,255,255
295,266.667,255,255,255
296,81244.444,255,255,255
297,4888.889,255,255,255
298,25777.778,255,255,255
299,9022.222,255,255,255
300,711.111,255,255,255
301,1244.444,255,255,255
302,3688.889,255,255,255
303,61466.667,255,255,255
304,44.444,255,255,255
305,711.111,255,255,255
306,6266.667,255,255,255
307,133.333,255,255,255
308,1777.778,255,255,255
309,8844.444,255,255,255
310,311.111,255,255,255
311,1555.556,255,255,255
312,2888.889,255,255,255
313,5466.667,255,255,255
314,1955.556,255,255,255
315,355.556,255,255,255
316,3155.556,255,255,255
317,666.667,255,255,255
318,9466.667,255,255,255
319,3155.556,255,255,255
320,4666.667,255,255,255
321,400.000,255,255,255
322,2577.778,255,255,255
323,4222.222,255,255,255
324,32666.667,255,255,255
325,1200.000,255,255,255
326,2400.000,255,255,255
327,311.111,255,255,255
328,133.333,255,255,255
329,2177.778,255,255,255
330,5466.667,255,255,255
331,8133.333,255,255,255
332,888.889,255,255,255
333,44.444,255,255,255
334,5377.778,255,255,255
335,3777.778,255,255,255
336,577.778,255,255,255
337,1022.222,255,255,255
338,5244.444,255,255,255
339,35688.889,255,255,255
340,533.333,255,255,255
341,7155.556,255,255,255
342,2088.889,255,255,255
343,2444.444,255,255,255
344,488.889,255,255,255
345,9866.667,255,255,255
346,3822.222,255,255,255
347,20622.222,255,255,255
348,711.111,255,255,255
349,222.222,255,255,255
350,8088.889,255,255,255
351,44.444,255,255,255
352,9555.556,255,255,255
353,2222.222,255,255,255
354,5733.333,255,255,255
355,3955.556,255,255,255
356,400.000,255,255,255
357,577.778,255,255,255
358,5777.778,255,255,255
359,10177.778,255,255,255
360,129066.667,255,255,255
361,4266.667,255,255,255
362,6177.778,255,255,255
363,577.778,255,255,255
364,5200.000,255,255,255
365,88.889,255,255,255
366,488.889,255,255,255
367,400.000,255,255,255
368,311.111,255,255,255
369,4533.333,255,255,255
370,6311.111,255,255,255
371,1333.333,255,255,255
372,3955.556,255,255,255
373,47288.889,255,255,255
374,5688.889,255,255,255
375,5822.222,255,255,255
376,44.444,255,255,255
377,13377.778,255,255,255
378,10222.222,255,255,255
379,488.889,255,255,255
380,44.444,255,255,255
381,6711.111,255,255,255
382,444.444,255,255,255
383,2444.444,255,255,255
384,19688.889,255,255,255
385,1155.556,255,255,255
386,25911.111,255,255,255
387,1600.000,255,255,255
388,400.000,255,255,255
389,88.889,255,255,255
390,3288.889,255,255,255
391,177.778,255,255,255
392,88.889,255,255,255
393,2577.778,255,255,255
394,666.667,255,255,255
395,5466.667,255,255,255
396,44.444,255,255,255
397,5600.000,255,255,255
398,7511.111,255,255,255
399,933.333,255,255,255
400,1200.000,255,255,255
401,1022.222,255,255,255
402,444.444,255,255,255
403,22844.444,255,255,255
404,4444.444,255,255,255
405,44.444,255,255,255
406,8133.333,255,255,255
407,5911.111,255,255,255
408,3022.222,255,255,255
409,5866.667,255,255,255
410,1600.000,255,255,255
411,400.000,255,255,255
412,1555.556,255,255,255
413,755.556,255,255,255
414,4800.000,255,255,255
415,6755.556,255,255,255
416,5022.222,255,255,255
417,13200.000,255,255,255
418,844.444,255,255,255
419,44.444,255,255,255
420,3733.333,255,255,255
421,1155.556,255,255,255
422,21600.000,255,255,255
423,16666.667,255,255,255
424,1244.444,255,255,255
425,711.111,255,255,255
426,266.667,255,255,255
427,5955.556,255,255,255
428,44.444,255,255,255
429,177.778,255,255,255
430,577.778,255,255,255
431,1022.222,255,255,255
432,3955.556,255,255,255
433,6088.889,255,255,255
434,44.444,255,255,255
435,44.444,255,255,255
436,1066.667,255,255,255
437,5600.000,255,255,255
438,4355.556,255,255,255
439,8311.111,255,255,255
440,4977.778,255,255,255
441,44.444,255,255,255
442,7066.667,255,255,255
443,3111.111,255,255,255
444,2400.000,255,255,255
445,44.444,255,255,255
446,488.889,255,255,255
447,3466.667,255,255,255
448,444.444,255,255,255
449,622.222,255,255,255
450,5688.889,255,255,255
451,20222.222,255,255,255
452,666.667,255,255,255
453,177.778,255,255,255
454,1244.444,255,255,255
455,4222.222,255,255,255
456,177.778,255,255,255
457,3644.444,255,255,255
458,622.222,255,255,255
459,1200.000,255,255,255
460,12800.000,255,255,255
461,199066.667,255,255,255
462,12666.667,255,255,255
463,5555.556,255,255,255
464,3333.333,255,255,255
465,3244.444,255,255,255
466,311.111,255,255,255
467,3066.667,255,255,255
468,1155.556,255,255,255
469,711.111,255,255,255
470,3244.444,255,255,255
471,1777.778,255,255,255
472,1733.333,255,255,255
473,1822.222,255,255,255
474,3466.667,255,255,255
475,222.222,255,255,255
476,2000.000,255,255,255
477,1466.667,255,255,255
478,2177.778,255,255,255
479,4711.111,255,255,255
480,2488.889,255,255,255
481,622.222,255,255,255
482,34755.556,255,255,255
483,1333.333,255,255,255
484,4488.889,255,255,255
485,2400.000,255,255,255
486,1333.333,255,255,255
487,88.889,255,255,255
488,444.444,255,255,255
489,266.667,255,255,255
490,3244.444,255,255,255
491,12844.444,255,255,255
492,8577.778,255,255,255
493,266.667,255,255,255
494,1733.333,255,255,255
495,400.000,255,255,255
496,2177.778,255,255,255
497,2044.444,255,255,255
