 ,Area,Mean,Min,Max
1,225,255,255,255
2,5325,255,255,255
3,50,255,255,255
4,106850,255,255,255
5,1225,255,255,255
6,750,255,255,255
7,4500,255,255,255
8,1475,255,255,255
9,25,255,255,255
10,25,255,255,255
11,1100,255,255,255
12,2075,255,255,255
13,121200,255,255,255
14,2350,255,255,255
15,850,255,255,255
16,311425,255,255,255
17,925,255,255,255
18,1800,255,255,255
19,1875,255,255,255
20,125,255,255,255
21,362275,255,255,255
22,50,255,255,255
23,1700,255,255,255
24,375,255,255,255
25,4425,255,255,255
26,2400,255,255,255
27,2350,255,255,255
28,6950,255,255,255
29,25,255,255,255
30,250,255,255,255
31,5875,255,255,255
32,300,255,255,255
33,33425,255,255,255
34,450,255,255,255
35,50,255,255,255
36,12750,255,255,255
37,125,255,255,255
38,25,255,255,255
39,22325,255,255,255
40,150,255,255,255
41,675,255,255,255
42,450,255,255,255
43,2125,255,255,255
44,950,255,255,255
45,42100,255,255,255
46,125,255,255,255
47,8900,255,255,255
48,3700,255,255,255
49,36325,255,255,255
50,400,255,255,255
51,875,255,255,255
52,322800,255,255,255
53,15100,255,255,255
54,2400,255,255,255
55,3725,255,255,255
56,850,255,255,255
57,1025,255,255,255
58,2450,255,255,255
59,2375,255,255,255
60,3200,255,255,255
61,2250,255,255,255
62,5750,255,255,255
63,9550,255,255,255
64,6400,255,255,255
65,2900,255,255,255
66,29600,255,255,255
67,1900,255,255,255
68,500,255,255,255
69,100,255,255,255
70,1225,255,255,255
71,1400,255,255,255
72,150,255,255,255
73,150,255,255,255
74,75,255,255,255
75,2075,255,255,255
76,5600,255,255,255
77,25,255,255,255
78,2800,255,255,255
79,1850,255,255,255
80,925,255,255,255
81,2300,255,255,255
82,25,255,255,255
83,750,255,255,255
84,2525,255,255,255
85,2925,255,255,255
86,25,255,255,255
87,4500,255,255,255
88,225,255,255,255
89,178700,255,255,255
90,1400,255,255,255
91,4800,255,255,255
92,3925,255,255,255
93,550,255,255,255
94,1650,255,255,255
95,875,255,255,255
96,2050,255,255,255
97,8800,255,255,255
98,2575,255,255,255
99,325,255,255,255
100,25,255,255,255
101,2725,255,255,255
102,1450,255,255,255
103,150,255,255,255
104,2450,255,255,255
105,3775,255,255,255
