 ,Area,Mean,Min,Max
1,176600,255,255,255
2,825,255,255,255
3,75,255,255,255
4,9450,255,255,255
5,2050,255,255,255
6,3200,255,255,255
7,4775,255,255,255
8,74650,255,255,255
9,2050,255,255,255
10,2800,255,255,255
11,500,255,255,255
12,200,255,255,255
13,450,255,255,255
14,56850,255,255,255
15,125,255,255,255
16,2100,255,255,255
17,3425,255,255,255
18,575,255,255,255
19,1051775,255,255,255
20,600,255,255,255
21,25,255,255,255
22,300,255,255,255
23,75,255,255,255
24,37300,255,255,255
25,150,255,255,255
26,200,255,255,255
27,141975,255,255,255
28,150,255,255,255
29,1075,255,255,255
30,250,255,255,255
31,175,255,255,255
32,1350,255,255,255
33,3350,255,255,255
34,150,255,255,255
35,33775,255,255,255
36,400,255,255,255
37,15925,255,255,255
38,1325,255,255,255
39,175,255,255,255
40,4400,255,255,255
41,106175,255,255,255
42,125,255,255,255
43,98225,255,255,255
44,450,255,255,255
45,100,255,255,255
46,1250,255,255,255
47,750,255,255,255
48,90625,255,255,255
49,100,255,255,255
50,550,255,255,255
51,700,255,255,255
52,225,255,255,255
53,1725,255,255,255
54,50,255,255,255
55,350,255,255,255
56,4450,255,255,255
57,50,255,255,255
58,13900,255,255,255
59,100,255,255,255
60,50,255,255,255
61,675,255,255,255
62,100,255,255,255
63,89875,255,255,255
64,50,255,255,255
65,3275,255,255,255
66,100,255,255,255
67,75,255,255,255
68,1800,255,255,255
69,8375,255,255,255
70,1200,255,255,255
