 ,Area,Mean,Min,Max
1,1955.556,255,255,255
2,577.778,255,255,255
3,2444.444,255,255,255
4,355.556,255,255,255
5,2266.667,255,255,255
6,1466.667,255,255,255
7,266.667,255,255,255
8,2888.889,255,255,255
9,577.778,255,255,255
10,1155.556,255,255,255
11,1288.889,255,255,255
12,88.889,255,255,255
13,2177.778,255,255,255
14,533.333,255,255,255
15,6488.889,255,255,255
16,2533.333,255,255,255
17,844.444,255,255,255
18,577.778,255,255,255
19,3111.111,255,255,255
20,44.444,255,255,255
21,9333.333,255,255,255
22,1200.000,255,255,255
23,400.000,255,255,255
24,222.222,255,255,255
25,133.333,255,255,255
26,266.667,255,255,255
27,4355.556,255,255,255
28,5822.222,255,255,255
29,400.000,255,255,255
30,8311.111,255,255,255
31,2000.000,255,255,255
32,1333.333,255,255,255
33,4044.444,255,255,255
34,1333.333,255,255,255
35,666.667,255,255,255
36,1200.000,255,255,255
37,5377.778,255,255,255
38,44.444,255,255,255
39,44.444,255,255,255
40,3955.556,255,255,255
41,44.444,255,255,255
42,5200.000,255,255,255
43,666.667,255,255,255
44,2622.222,255,255,255
45,177.778,255,255,255
46,5644.444,255,255,255
47,355.556,255,255,255
48,2044.444,255,255,255
49,2533.333,255,255,255
50,177.778,255,255,255
51,5600.000,255,255,255
52,844.444,255,255,255
53,4622.222,255,255,255
54,4044.444,255,255,255
55,88.889,255,255,255
56,266.667,255,255,255
57,9733.333,255,255,255
58,2488.889,255,255,255
59,3422.222,255,255,255
60,311.111,255,255,255
61,5022.222,255,255,255
62,1866.667,255,255,255
63,56222.222,255,255,255
64,10400.000,255,255,255
65,844.444,255,255,255
66,577.778,255,255,255
67,3555.556,255,255,255
68,44.444,255,255,255
69,1733.333,255,255,255
70,222.222,255,255,255
71,3022.222,255,255,255
72,1200.000,255,255,255
73,4400.000,255,255,255
74,88.889,255,255,255
75,4755.556,255,255,255
76,2177.778,255,255,255
77,4444.444,255,255,255
78,2000.000,255,255,255
79,177.778,255,255,255
80,88.889,255,255,255
81,444.444,255,255,255
82,2711.111,255,255,255
83,3111.111,255,255,255
84,1333.333,255,255,255
85,533.333,255,255,255
86,1555.556,255,255,255
87,177.778,255,255,255
88,222.222,255,255,255
89,800.000,255,255,255
90,800.000,255,255,255
91,1022.222,255,255,255
92,222.222,255,255,255
93,177.778,255,255,255
94,1600.000,255,255,255
95,9911.111,255,255,255
96,711.111,255,255,255
97,2977.778,255,255,255
98,43822.222,255,255,255
99,1600.000,255,255,255
100,222.222,255,255,255
101,2933.333,255,255,255
102,355.556,255,255,255
103,133.333,255,255,255
104,666.667,255,255,255
105,2888.889,255,255,255
106,1066.667,255,255,255
107,3777.778,255,255,255
108,311.111,255,255,255
109,4533.333,255,255,255
110,977.778,255,255,255
111,1377.778,255,255,255
112,266.667,255,255,255
113,3555.556,255,255,255
114,5333.333,255,255,255
115,311.111,255,255,255
116,5200.000,255,255,255
117,1111.111,255,255,255
118,355.556,255,255,255
119,3777.778,255,255,255
120,34622.222,255,255,255
121,177.778,255,255,255
122,444.444,255,255,255
123,177.778,255,255,255
124,266.667,255,255,255
125,5244.444,255,255,255
126,3600.000,255,255,255
127,4444.444,255,255,255
128,4844.444,255,255,255
129,844.444,255,255,255
130,222.222,255,255,255
131,1600.000,255,255,255
132,266.667,255,255,255
133,533.333,255,255,255
134,88.889,255,255,255
135,1644.444,255,255,255
136,1511.111,255,255,255
137,3600.000,255,255,255
138,3155.556,255,255,255
139,222.222,255,255,255
140,1733.333,255,255,255
141,3466.667,255,255,255
142,2133.333,255,255,255
143,8088.889,255,255,255
144,44.444,255,255,255
145,755.556,255,255,255
146,44.444,255,255,255
147,444.444,255,255,255
148,1200.000,255,255,255
149,577.778,255,255,255
150,11066.667,255,255,255
151,3733.333,255,255,255
152,4844.444,255,255,255
153,8977.778,255,255,255
154,2666.667,255,255,255
155,21066.667,255,255,255
156,3244.444,255,255,255
157,3377.778,255,255,255
158,6311.111,255,255,255
159,844.444,255,255,255
160,933.333,255,255,255
161,5066.667,255,255,255
162,844.444,255,255,255
163,12755.556,255,255,255
164,2177.778,255,255,255
165,3866.667,255,255,255
166,133.333,255,255,255
167,88.889,255,255,255
168,2977.778,255,255,255
169,311.111,255,255,255
170,6000.000,255,255,255
171,488.889,255,255,255
172,4355.556,255,255,255
173,4222.222,255,255,255
174,9822.222,255,255,255
175,222.222,255,255,255
176,133.333,255,255,255
177,1377.778,255,255,255
178,2088.889,255,255,255
179,4577.778,255,255,255
180,5377.778,255,255,255
181,1200.000,255,255,255
182,177.778,255,255,255
183,133.333,255,255,255
184,18888.889,255,255,255
185,1377.778,255,255,255
186,2622.222,255,255,255
187,6177.778,255,255,255
188,2222.222,255,255,255
189,1733.333,255,255,255
190,1733.333,255,255,255
191,5200.000,255,255,255
192,8488.889,255,255,255
193,488.889,255,255,255
194,8266.667,255,255,255
195,44.444,255,255,255
196,2311.111,255,255,255
197,1511.111,255,255,255
198,1600.000,255,255,255
199,3822.222,255,255,255
200,8044.444,255,255,255
201,888.889,255,255,255
202,266.667,255,255,255
203,25911.111,255,255,255
204,2622.222,255,255,255
205,2755.556,255,255,255
206,11822.222,255,255,255
207,888.889,255,255,255
208,400.000,255,255,255
209,2488.889,255,255,255
210,400.000,255,255,255
211,2622.222,255,255,255
212,1066.667,255,255,255
213,44.444,255,255,255
214,444.444,255,255,255
215,20844.444,255,255,255
216,1555.556,255,255,255
217,20888.889,255,255,255
218,1955.556,255,255,255
219,666.667,255,255,255
220,44.444,255,255,255
221,11333.333,255,255,255
222,3466.667,255,255,255
223,311.111,255,255,255
224,1200.000,255,255,255
225,5377.778,255,255,255
226,4844.444,255,255,255
227,622.222,255,255,255
228,10533.333,255,255,255
229,30888.889,255,255,255
230,1288.889,255,255,255
231,2844.444,255,255,255
232,266.667,255,255,255
233,16177.778,255,255,255
234,1022.222,255,255,255
235,3688.889,255,255,255
236,1422.222,255,255,255
237,5466.667,255,255,255
238,666.667,255,255,255
239,2622.222,255,255,255
240,6888.889,255,255,255
241,1333.333,255,255,255
242,2133.333,255,255,255
243,56355.556,255,255,255
244,44.444,255,255,255
245,1155.556,255,255,255
246,622.222,255,255,255
247,1288.889,255,255,255
248,4577.778,255,255,255
249,44.444,255,255,255
250,3955.556,255,255,255
251,44.444,255,255,255
252,266.667,255,255,255
253,1333.333,255,255,255
254,177.778,255,255,255
255,18755.556,255,255,255
256,444.444,255,255,255
257,266.667,255,255,255
258,5022.222,255,255,255
259,1777.778,255,255,255
260,5733.333,255,255,255
261,3066.667,255,255,255
262,1955.556,255,255,255
263,133.333,255,255,255
264,444.444,255,255,255
265,577.778,255,255,255
266,44.444,255,255,255
267,2266.667,255,255,255
268,4444.444,255,255,255
269,16888.889,255,255,255
270,4933.333,255,255,255
271,222.222,255,255,255
272,2311.111,255,255,255
273,2488.889,255,255,255
274,6711.111,255,255,255
275,1244.444,255,255,255
276,1422.222,255,255,255
277,2888.889,255,255,255
278,800.000,255,255,255
279,488.889,255,255,255
280,1155.556,255,255,255
281,1822.222,255,255,255
282,355.556,255,255,255
283,133.333,255,255,255
284,44.444,255,255,255
285,400.000,255,255,255
286,1333.333,255,255,255
287,1022.222,255,255,255
288,311.111,255,255,255
289,3644.444,255,255,255
290,1288.889,255,255,255
291,4533.333,255,255,255
292,5955.556,255,255,255
293,1466.667,255,255,255
294,16488.889,255,255,255
295,133.333,255,255,255
296,1511.111,255,255,255
297,4311.111,255,255,255
298,44.444,255,255,255
299,266.667,255,255,255
300,27422.222,255,255,255
301,3422.222,255,255,255
302,87022.222,255,255,255
303,533.333,255,255,255
304,177.778,255,255,255
305,4488.889,255,255,255
306,3866.667,255,255,255
307,1244.444,255,255,255
308,133.333,255,255,255
309,2355.556,255,255,255
310,17866.667,255,255,255
311,800.000,255,255,255
312,1644.444,255,255,255
313,3866.667,255,255,255
314,88.889,255,255,255
315,1555.556,255,255,255
316,3422.222,255,255,255
317,533.333,255,255,255
318,1600.000,255,255,255
319,1111.111,255,255,255
320,7333.333,255,255,255
321,44.444,255,255,255
322,222.222,255,255,255
323,1511.111,255,255,255
324,266.667,255,255,255
325,844.444,255,255,255
326,222.222,255,255,255
327,44.444,255,255,255
328,10000.000,255,255,255
329,10311.111,255,255,255
330,16711.111,255,255,255
331,1022.222,255,255,255
332,10622.222,255,255,255
333,711.111,255,255,255
334,10400.000,255,255,255
335,133.333,255,255,255
336,8044.444,255,255,255
337,355.556,255,255,255
338,2444.444,255,255,255
339,2311.111,255,255,255
340,5777.778,255,255,255
341,5822.222,255,255,255
342,933.333,255,255,255
343,1288.889,255,255,255
344,6933.333,255,255,255
345,266.667,255,255,255
346,3822.222,255,255,255
347,44.444,255,255,255
348,1111.111,255,255,255
349,1777.778,255,255,255
350,16222.222,255,255,255
351,88.889,255,255,255
352,21155.556,255,255,255
353,800.000,255,255,255
354,1733.333,255,255,255
355,5644.444,255,255,255
356,3333.333,255,255,255
357,3422.222,255,255,255
358,44.444,255,255,255
359,2000.000,255,255,255
360,3422.222,255,255,255
361,2488.889,255,255,255
362,1244.444,255,255,255
363,133.333,255,255,255
364,1333.333,255,255,255
365,5155.556,255,255,255
366,1866.667,255,255,255
367,400.000,255,255,255
368,36666.667,255,255,255
369,355.556,255,255,255
370,1600.000,255,255,255
371,32088.889,255,255,255
372,666.667,255,255,255
373,4355.556,255,255,255
374,2711.111,255,255,255
375,800.000,255,255,255
376,888.889,255,255,255
377,9244.444,255,255,255
378,222.222,255,255,255
379,2577.778,255,255,255
380,6000.000,255,255,255
381,266.667,255,255,255
382,12355.556,255,255,255
383,17377.778,255,255,255
384,2533.333,255,255,255
385,1955.556,255,255,255
386,1422.222,255,255,255
387,21377.778,255,255,255
388,4488.889,255,255,255
389,4711.111,255,255,255
390,45644.444,255,255,255
391,88.889,255,255,255
392,44.444,255,255,255
393,1422.222,255,255,255
394,222.222,255,255,255
395,6177.778,255,255,255
396,711.111,255,255,255
397,44.444,255,255,255
398,133.333,255,255,255
399,1733.333,255,255,255
400,1955.556,255,255,255
401,3377.778,255,255,255
402,15066.667,255,255,255
403,29244.444,255,255,255
404,44.444,255,255,255
405,8000.000,255,255,255
406,5244.444,255,255,255
407,88.889,255,255,255
408,2444.444,255,255,255
409,977.778,255,255,255
410,355.556,255,255,255
411,133.333,255,255,255
412,16044.444,255,255,255
413,1111.111,255,255,255
414,3022.222,255,255,255
415,3288.889,255,255,255
416,711.111,255,255,255
417,44.444,255,255,255
418,19200.000,255,255,255
419,1022.222,255,255,255
420,1511.111,255,255,255
421,3733.333,255,255,255
422,3111.111,255,255,255
423,4844.444,255,255,255
424,5911.111,255,255,255
425,44.444,255,255,255
426,1555.556,255,255,255
427,1955.556,255,255,255
428,4622.222,255,255,255
429,222.222,255,255,255
430,5422.222,255,255,255
431,31111.111,255,255,255
432,2711.111,255,255,255
433,1688.889,255,255,255
434,3155.556,255,255,255
435,5066.667,255,255,255
436,1066.667,255,255,255
437,10533.333,255,255,255
438,1466.667,255,255,255
439,133.333,255,255,255
440,266.667,255,255,255
441,3022.222,255,255,255
442,355.556,255,255,255
443,133.333,255,255,255
444,2044.444,255,255,255
445,1466.667,255,255,255
446,7600.000,255,255,255
447,2533.333,255,255,255
448,35200.000,255,255,255
449,1155.556,255,255,255
450,22666.667,255,255,255
451,888.889,255,255,255
452,7155.556,255,255,255
453,17200.000,255,255,255
454,56888.889,255,255,255
455,2088.889,255,255,255
456,666.667,255,255,255
457,88.889,255,255,255
458,12977.778,255,255,255
